Borough,City,Student_Enrollment,Percent_White,Percent_Black,Percent_Asian,Average_Score_SAT_Math,Average_Score_SAT_Reading,Average_Score_SAT_Writing,Percent_Tested,Average_SAT
Brooklyn,Brooklyn,387,0.01,0.78,0.01,372,372,361,0.55,368.33
Brooklyn,Brooklyn,353,0.01,0.9,0.01,382,395,384,0.57,387.00
Brooklyn,Brooklyn,341,0,0.91,0.01,378,394,388,0.73,386.67
Brooklyn,Brooklyn,424,0.01,0.91,0.01,398,411,400,0.61,403.00
Brooklyn,Brooklyn,566,0.01,0.9,0.01,364,374,361,0.62,366.33
Brooklyn,Brooklyn,454,0.01,0.76,0.05,468,454,464,0.95,462.00
Brooklyn,Brooklyn,279,0.01,0.83,0.01,370,383,374,0.64,375.67
Brooklyn,Brooklyn,319,0.02,0.88,0.01,386,385,390,0.54,387.00
Brooklyn,Brooklyn,496,0.15,0.18,0.47,428,413,417,0.84,419.33
Brooklyn,Brooklyn,3220,0.19,0.12,0.4,504,411,407,0.54,440.67
Brooklyn,Brooklyn,404,0.01,0.79,0.01,358,386,380,0.52,374.67
Brooklyn,Brooklyn,421,0.01,0.73,0.01,332,346,350,0.55,342.67
Brooklyn,Brooklyn,916,0.01,0.86,0.03,479,484,472,0.86,478.33
Brooklyn,Brooklyn,692,0.03,0.14,0,366,356,353,0.56,358.33
Brooklyn,Brooklyn,676,0.14,0.19,0.36,625,588,591,0.98,601.33
Brooklyn,Brooklyn,276,0.01,0.38,0.01,384,398,399,0.41,393.67
Brooklyn,Brooklyn,520,0.02,0.4,0.02,374,376,357,0.56,369.00
Brooklyn,Brooklyn,284,0.01,0.76,0.03,380,389,384,0.41,384.33
Brooklyn,Brooklyn,324,0.02,0.72,0.01,365,369,357,0.48,363.67
Brooklyn,Brooklyn,506,0.01,0.7,0.01,326,333,350,0.39,336.33
Brooklyn,Brooklyn,319,0.02,0.74,0,391,373,376,0.26,380.00
Brooklyn,Brooklyn,406,0.01,0.81,0,375,393,394,0.4,387.33
Brooklyn,Brooklyn,479,0,0.68,0.02,464,451,421,0.67,445.33
Brooklyn,Brooklyn,334,0.01,0.36,0.05,383,376,370,0.47,376.33
Brooklyn,Brooklyn,229,0,0,0,319,323,284,0.29,308.67
Brooklyn,Brooklyn,308,0.04,0.61,0.08,387,391,383,0.53,387.00
Brooklyn,Brooklyn,1093,0.01,0.64,0.06,387,387,384,0.37,386.00
Brooklyn,Brooklyn,330,0.03,0.2,0.05,365,370,362,0.54,365.67
Brooklyn,Brooklyn,547,0.01,0.73,0.02,382,413,391,0.81,395.33
Brooklyn,Brooklyn,413,0.01,0.46,0.05,395,376,359,0.57,376.67
Brooklyn,Brooklyn,4372,0.34,0.05,0.3,513,456,451,0.69,473.33
Brooklyn,Brooklyn,3787,0.23,0.3,0.34,550,514,516,0.86,526.67
Brooklyn,Brooklyn,1098,0.01,0.35,0.01,380,377,384,0.45,380.33
Brooklyn,Brooklyn,1001,0.03,0.36,0.04,463,446,425,0.55,444.67
Brooklyn,Brooklyn,494,0.02,0.55,0.02,391,406,391,0.75,396.00
Brooklyn,Brooklyn,245,0.01,0.12,0,344,380,379,0.63,367.67
Brooklyn,Brooklyn,598,0.01,0.46,0.01,393,390,394,0.35,392.33
Brooklyn,Brooklyn,682,0.1,0.16,0.03,443,440,430,0.88,437.67
Brooklyn,Brooklyn,595,0.04,0.32,0.02,415,424,407,0.6,415.33
Brooklyn,Brooklyn,319,0,0.88,0,400,407,394,0.65,400.33
Brooklyn,Brooklyn,390,0.01,0.83,0,394,399,412,0.57,401.67
Brooklyn,Brooklyn,438,0.01,0.86,0.03,446,442,410,0.69,432.67
Brooklyn,Brooklyn,373,0.01,0.86,0.02,406,405,396,0.48,402.33
Brooklyn,Brooklyn,648,0.02,0.87,0.01,399,392,394,0.36,395.00
Brooklyn,Brooklyn,290,0.06,0.72,0.04,367,374,361,0.56,367.33
Brooklyn,Brooklyn,901,0.53,0.05,0.16,458,434,434,0.68,442.00
Brooklyn,Brooklyn,358,0.26,0.09,0.41,424,343,337,0.84,368.00
Brooklyn,Brooklyn,271,0.23,0.17,0.16,420,396,396,0.75,404.00
Brooklyn,Brooklyn,3480,0.28,0.04,0.39,488,422,417,0.63,442.33
Brooklyn,Brooklyn,271,0.14,0.52,0.07,369,379,378,0.7,375.33
Brooklyn,Brooklyn,564,0.43,0.26,0.07,474,462,449,0.66,461.67
Brooklyn,Brooklyn,285,0.06,0.47,0.07,408,435,415,0.59,419.33
Brooklyn,Brooklyn,566,0.31,0.26,0.1,553,551,539,0.8,547.67
Brooklyn,Brooklyn,423,0.04,0.46,0.08,405,377,395,0.6,392.33
Brooklyn,Brooklyn,351,0.03,0.66,0.02,420,424,414,0.75,419.33
Brooklyn,Brooklyn,364,0.01,0.85,0.03,505,464,456,0.96,475.00
Brooklyn,Brooklyn,870,0.02,0.7,0.02,439,441,436,0.81,438.67
Brooklyn,Brooklyn,5447,0.21,0.08,0.61,682,608,606,0.96,632.00
Brooklyn,Brooklyn,605,0.05,0.72,0.08,502,495,493,0.98,496.67
Brooklyn,Brooklyn,1329,0.16,0.08,0.18,475,440,445,0.82,453.33
Brooklyn,Brooklyn,514,0,0.08,0,389,374,378,0.5,380.33
Brooklyn,Brooklyn,596,0.01,0.71,0.03,395,401,383,0.63,393.00
